id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
103,அடுப்பங்கரை,,aṭuppaṅkarai,,சமைக்கும் இடம்.,,அடுப்பங்கரைலதான் எப்பப் பார்த்தாலும் வேல.,பெயர்ச்சொல்,,,pm,
104,அடுப்பாங்கரை,அடுப்பாங்கரெ,aṭuppāṅkarai,aṭuppāṅkare,அடுப்பைச் சுற்றியுள்ள பகுதி.,,அடுப்பாங்கரையில பாரு உப்பு டப்பா இருக்குது.,,,,np,
105,அடுப்பாம்கூலை,அடுப்பாக்கொலை | அக்கினிமூலை,aṭuppāmkūlai,aṭuppākkolai | akkiṉimūlai,தென்கிழக்கு மூலை (அக்கினி மூலை).,,அடுப்பாம் மூலைல பாரு.,,,,np,
106,அடுப்புக்கல்,,aṭuppukkal,,திருவிழாச் சமயங்களில் பொங்கல் வைக்க அடுப்பை உருவாக்கும் கல்.,,அடுப்புக்கல்லப் பெரிசாப் போடு.,பெயர்ச்சொல்,,,pm,
107,அடுப்புக்குட்டு,,aṭuppukkuṭṭu,,அடுப்பின் ஓரத்தில் இருக்கும் உருண்டை வடிவ திட்டு. | குயவர் செய்யும் மண் அடுப்பில் பாத்திரம் வைப்பதற்காகப் பொருத்தப்பட்டிருக்கும் குமிழ்.,,அடுப்புக்குட்டு உடைஞ்சு போச்சு. | அடுப்புக்குட்டு ஒடஞ்சு போச்சு. சட்டி ஒரு பக்கமாச் சாயுது.,பெயர்ச்சொல்,,,np | pm,
108,அடுப்புத்திட்டு,,aṭupputtiṭṭu,,அடுப்பின் ஓரம். | அடுப்புகளைப் புதைத்துச் சுற்றிலும் மண்ணாலோ காரையாலோ கட்டப்பட்ட பகுதி.,,அடுப்புத்திட்டுல பாரு சாத்துக்குண்டா இருக்குது. | நெருப்பொட்டி அடுப்புத்திட்டுல இருக்கும் பாரு.,பெயர்ச்சொல்,,,np | pm,
109,அடுவு,,aṭuvu,,விதைத்த அதே நாளில் மழைபெய்து மண் இறுகிவிடுதல் (அதனால் பயிர் முளைவிட்டு வெளிவரச் சில நாட்கள் அதிகமாகும்).,,பயிரு அடுவுசிக்கிப் போச்சு.,பெயர்ச்சொல்,,,pm,
110,அடைப்பீ,அடப்பீ,aṭaippī,aṭappī,"அடைகாக்கும் கோழிகள் கழிக்கும் மலம், மிகுந்த நாற்றமுடையதாக இருக்கும். | அடை காக்கும் கோழி இரண்டு மூன்று நாட்களுக்கு ஒருமுறை எழுந்து வெளியே வரும்போது கழிக்கும் கடும் நாற்றம் வீசும் பெரும் மலம்.",,அடப்பீ இந்த நாத்தம் நாறுது.,பெயர்ச்சொல்,,,np | pm,
111,அடைமூக்கு,,aṭaimūkku,,மூக்கில் சளி அதிகமாக இருத்தல். | சளியினால் அடைத்துக் கட்டிக் கிடக்கும் மூக்கு.,,அடைமூக்கா இருக்குது தைலம் போட்டுத் தடவு. | அது அடமூக்குப் புள்ள.,பெயர்ச்சொல்,,,np | pm,
112,அடையோடு,,aṭaiyōṭu,,"கோழி அடை வைக்க வசதியாக மணல் நிரப்பி வைக்கும் (குடம், பானை ஆகியவற்றின் ஓர் அடி) ஓடு.",,அடையோட்டுக்குள்ளயே கோழி பேண்டு வெச்சிருக்குது.,பெயர்ச்சொல்,,,pm,
113,அடைவெக்கிறது,,aṭaivekkiṟatu,,காண்க: அடக்கோழி.,,,,,,np,
114,அண்டநாற்றம்,அண்டநாத்தம்,aṇṭanāṟṟam,aṇṭanāttam,நாற்றம் அதிகமாக இருத்தல். | பக்கத்தில் போக (அண்ட) முடியாத அளவுக்கு வீசும் நாற்றம்.,,அண்டநாத்தம்டா சாமி தாங்கவே முடியலே. | சாக்கடப்பக்கம் போகமுடியல. அண்ட நாத்தமடிக்குதப்பா.,பெயர்ச்சொல்,,,np | pm,
115,அண்டர்வாரு,,aṇṭarvāru,,ஆண்கள் அணியும் உள்ளாடை.,,அண்டர்வாரு போட்டுகிட்டு சுத்தறதைப் பாரு.,,,,np,
116,அண்டை,,aṇṭai,,"தயிர், பால், உப்பு போன்றவற்றைப் போட்டு வைத்துக் கொள்ளும் மூங்கிலால் ஆன பாத்திரம்.",,அண்டையில் பாரு தயிரு இருக்கும்.,பெயர்ச்சொல்,,,pm,
