id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
3236,தொண்டு,,toṇṭu,,"கொங்குப் பகுதியில் குறிப்பாக கோபி வட்டாரத்தில் தொண்டு என்றால், பல பேருடன் தகாத உறவு கொண்டிருப்பதைக் குறிக்கும் | ஒழுக்கமற்ற ஆண் / பெண்; பலரோடு உறவு கொள்ளும் ஆண் / பெண்.",,"ஆண்பால், பெண்பால் வேறுபாடற்றது | அவ கத்தத் தொண்டு. | இந்தப் பையன் தொண்டாப் போயிட்டானே.",பெயர்ச்சொல்,food_cooking,,od | pm,
3237,தொண்டு மண்டி,,toṇṭu maṇṭi,,இரண்டு முழங்கால்களையும் நிலத்தில் ஊன்றிக்கொண்டு நிற்கும் நிலை.,,அப்பெல்லாம் பண்ணயக்காரனுக்கு முன்ன தொண்டு மண்டி போட்டுக்கிட்டுத்தான் நிப்பாங்க.,பெயர்ச்சொல்,,,pm,
3238,தொண்டுபட்டி,தொண்டுப்பட்டி,toṇṭupaṭṭi,toṇṭuppaṭṭi,"மாடு/ஆடு அடைக்கும் இடம், தொழுவம் - ஆட்டைத் தொண்டுபட்டியிலே அடை | கால்நடைகளை கட்டி வைக்கும் இடம் | மாடு, கன்றுகள் இருக்குமிடம் | மாடுகட்டும் தொழுவம் தீவனப்போர் சிறு பொருட்கள் வைக்கும் குடிசை போன்ற அமைப்பு. | மாடு கட்டும் தொழுவம்; தீவனப் போர், சிறு பொருட்கள் வைக்கும் குடிசை போன்ற அனைத்தும் (ஒரு சில குறையலாம்) சேர்ந்த இடம்.",,ஆட்டைத் தொண்டுபட்டியிலே அடை | தொண்டு பட்டிமில பாரு கொடமிருக்கு. | தொண்டுப்பட்டியில மாட்டக் கொண்டோயிக் கட்டு.,பெயர்ச்சொல்,farming_livestock,,od | np | pm,
3239,தொண்டுமுட்டி,,toṇṭumuṭṭi,,எருமையோ மனிதனோ தப்பி ஓடாதிருக்க முன் கால்களுக்கு இடையே கட்டப்படும் முட்டி. | எருமையோ மனிதனோ விரைந்து ஓடாமலிருப்பதற்காக முன்னங்கால்களுக்கிடையே கட்டப்படும் சாமான்.,,எருமைக்கு தொண்டுமுட்டி கட்டியுடோனு. | அவனுக்குத் தொண்டு முட்டி கட்டியுட்டாத்தான் சரிப்படுவான்.,பெயர்ச்சொல்,,,np | pm,
3240,தொணதொணன்னு,,toṇatoṇaṉṉu,,திரும்பத் திரும்ப பேசிக்கொண்டிருத்தல்.,,தொணதொணன்னு பேசிட்டு என்கிட்டே இருக்காத.,,,,np,
3241,தொணெ,,toṇe,,துணை,,,,kinship,,od,
3242,தொணெப்பொண்ணு,,toṇeppoṇṇu,,மணமகளின் தங்கை.,,தொணெப் பொண்ணெக் கூப்புட்டு பக்கத்துலெ உக்காரெ வெய்யிங்கெ.,,,,np,
3243,தொணெமாப்ளெ,,toṇemāpḷe,,மணமகளின் சகோதரர்.,,மொதல்லெ தொணெ மாப்ளெயெ கூப்புட்டு உக்கார வெய்யிங்க.,,,,np,
3244,தொத்துகால்,,tottukāl,,"எட்டாத வேலி, செடி கொடிகளை மேய முன்னங்கால்களை அவற்றின் மேல் வைத்துக் கொண்டு வெள்ளாடுகள் நேராக நிற்கும் நிலை.",,அங்க பாரு தொத்து காலுப் போட்டுக்கிட்டு மேயுது.,பெயர்ச்சொல்,,,pm,
3245,தொப்பக்கட்டெ,,toppakkaṭṭe,,மாட்டு வண்டியின் இருசும் பகுதியையும் பார் பகுதியையும் இணைக்கும் பருத்த மரக்கட்டை.,,,,,,np,
3246,தொப்பக்கட்டை,,toppakkaṭṭai,,வண்டியில் பாருக்குக் கீழ் இரு சக்கரங்களையும் இணைக்கும் கட்டை.,,தொப்பக் கட்டையில ஆரோ மையில எழுதியிருக்கறான்.,பெயர்ச்சொல்,,,pm,
3247,தொப்பல்,,toppal,,"முழுவதும், சிறிதும் இடைவெளி இன்றி.",,எங்காச்சும் நின்னு வரக்கூடாது ... தொப்பலா நனஞ்சுபோயிட்டயே.,வினைச்சொல்,,,pm,
3248,தொப்பை,,toppai,,"வயிறு, புளியம்பழத்தோல் | புளியம்பழத் தோல்.",,தொப்பைய உறிச்செரி.,பெயர்ச்சொல்,body_health,,od | pm,
3249,தொம்பெொ,,tompeo,,நிறைய,,வவுறு தொம்பொோ சோறு தின்னு வவறு வலிக்கிது,,,,np,
3250,தொம்பை,,tompai,,தேவையற்ற பொருட்களை வைக்க மூங்கிலால் பின்னப்பட்ட பெரிய கூடை. | தானியங்களைச் சேகரித்து வைக்க மூங்கிலால் பின்னப்பட்ட (மூடியுடன் கூடிய) பெரிய கூடை.,,"தொம்பைல பாரு அழுக்குத் துணி இருக்கு. | தொம்பையில, கொஞ்சம் கம்பள்ளியா.",பெயர்ச்சொல்,,,np | pm,
3251,தொய்யல்,,toyyal,,ஒரு வகைக் கீரை.,,கொஞ்சம் தொய்யப் பொறிச்சாந்தாக் கடையலாம்.,பெயர்ச்சொல்,home_household,,od | pm,
3252,தொரட்டி,,toraṭṭi,,,,,,home_household,,od,
3253,தொரண்டு,,toraṇṭu,,ஏறுக்கு. மாறாய் பேசுக.,,இந்தொ தொரண்டு பேசறதுலை மட்டு கொறச்சலு இல்லை,,,,np,
3254,தொரத்தீட்டு,,torattīṭṭu,,துரத்திக்கொண்டு.,,இப்படி தொரத்தீட்டு வெளெயாண்டீங்னா கீழ் உழுந்துருவ.,,,,np,
3255,தொரலை,,toralai,,காய்கறிச் மேலிருக்கும் தோல்.,,தொரலை உரிச்சித் தின்னு.,,,,np,
